res_id,name,type,address,city,locality,latitude,longitude,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,votes,photo_count,opentable_support,delivery,state,area
3400299,Bikanervala,Quick Bites,"Kalyani Point, Near Tulsi Cinema, Bypass Road, Khandari, Agra",Agra,Khandari,27.21145,78.00238056,"North Indian, South Indian, Mithai, Street Food, Desserts",8:30am – 10:30pm (Mon-Sun),700,2,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Air Conditioned', 'Indoor Seating', 'Pure Veg']",4.4,814,154,0,0,Uttar Pradesh,240928
3400005,Mama Chicken Mama Franky House,Quick Bites,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra,Agra Cantt,27.1605689,78.0115831,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food","12:30PM to 12Midnight (Mon, Wed, Thu, Fri, Sat, Sun), 1PM to 12Midnight (Tue)",600,2,"['Delivery', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",4.4,1203,161,0,0,Uttar Pradesh,240928
3401013,Bhagat Halwai,Quick Bites,"62/1, Near Easy Day, West Shivaji Nagar, Goalpura, Shahganj",Agra,Shahganj,27.18293767,77.97968365,"Fast Food, Mithai",9:30 AM to 11 PM,300,1,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Delivery', 'Outdoor Seating', 'Air Conditioned', 'Self Service', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes']",4.2,801,107,0,1,Uttar Pradesh,240928
3400290,Bhagat Halwai,Quick Bites,"Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra",Agra,Civil Lines,27.20566794,78.00479852,"Desserts, Bakery, Fast Food, South Indian",8am – 11pm (Mon-Sun),300,1,"['Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Smoking Area', 'Dance Floor', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.3,693,157,0,1,Uttar Pradesh,240928
3401744,The Salt Cafe Kitchen & Bar,Casual Dining,"1C,3rd Floor, Fatehabad Road, Tajganj, Agra",Agra,Tajganj,27.1577095,78.0524211,"North Indian, Continental, Italian",11:30 AM to 11:30 PM,1000,3,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Wine', 'Live Music', 'Rooftop', 'Digital Payments Accepted', 'Air Conditioned', 'Smoking Area', 'Dance Floor', 'Live Sports Screening', 'Fullbar', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Available for Functions', 'Resto Bar', 'Hookah', 'Wifi', 'DJ', 'Live Entertainment', 'City View']",4.9,470,291,0,1,Uttar Pradesh,240928
3400275,Domino's Pizza,Quick Bites,"114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra",Agra,Civil Lines,27.20151564,78.00755583,"Pizza, Fast Food",10:57 AM to 11 PM,400,2,"['Credit Card', 'Lunch', 'Delivery', 'Dinner', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Free Parking']",4,707,62,0,0,Uttar Pradesh,240928
3400296,Honeydew Restaurant,Quick Bites,"Opposite Soami Bagh Temple, Dayal Bagh, Agra",Agra,Dayal Bagh,27.22217513,78.01017366,"North Indian, Fast Food, Chinese, South Indian","11am – 10:35pm (Mon, Tue, Wed, Fri, Sat), 11am – 10:30pm (Thu),11am – 10:45pm (Sun)",500,2,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Table booking recommended']",4.2,647,46,0,1,Uttar Pradesh,240928
3400368,Domino's Pizza,Quick Bites,"Plot C-1/6, Sector 13, Sikandra, Agra",Agra,Sikandra,27.20393,77.95426,"Pizza, Fast Food",10:57 AM to 11 PM,400,2,"['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",3.8,617,18,0,0,Uttar Pradesh,240928
3401284,Cake House,Bakery,"23/301, Wazirpura Rd, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra",Agra,Civil Lines,27.2041478,78.0090248,"Bakery, Fast Food",9 AM to 9 PM,500,2,"['Takeaway Available', 'Cash', 'Indoor Seating', 'Desserts and Bakes']",3.4,322,14,0,1,Uttar Pradesh,240928
3400838,Sugar N Thyme,Café,"1374 K/1375 K, Ground floor, Dinesh Nagar, Fatehabad Road, Tajganj, Agra",Agra,Tajganj,27.15824318,78.04559089,"Cafe, Chinese, Continental, Italian, Bakery, Desserts","12midnight – 1am, 11:30am – 12midnight (Mon-Sun)",1000,3,"['No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Desserts and Bakes', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted']",4.4,289,324,0,1,Uttar Pradesh,240928
3400868,Hichkee,Casual Dining,"6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra",Agra,Civil Lines,27.1900415,78.024693,"Continental, North Indian, Chinese",4pm – 1am (Mon-Sun),1200,3,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Beer', 'Rooftop', 'Table booking recommended', 'Wine', 'Indoor Seating']",4.4,683,229,0,1,Uttar Pradesh,240928
3400425,Bikanervala,Casual Dining,"Opposite ITC Mughal, Fatehbad Road, Tajganj, Agra",Agra,Tajganj,27.15854865,78.04522712,"North Indian, South Indian, Mithai, Street Food, Desserts",8:30am – 10:30pm (Mon-Sun),700,2,"['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']",4.4,523,162,0,1,Uttar Pradesh,240928
3400105,Pizza Hut,Casual Dining,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra",Agra,Tajganj,27.16137213,78.03489994,"Pizza, Fast Food, Italian",11 AM to 11 PM (Mon-Sun),700,2,"['Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Table booking not available', 'Table Reservation Not Required', 'Indoor Seating', 'Free Wifi', 'Air Conditioned', 'Axis Bank - Dining Delights', 'Desserts and Bakes', 'Outdoor Seating']",4.1,626,99,0,0,Uttar Pradesh,240928
3400457,Yadav Dhaba Purana,Dhaba,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Agra,Civil Lines,27.195836,77.998213,North Indian,10:30 AM to 11:30 PM (Mon-Sun),300,1,"['Lunch', 'Cash', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Pure Veg']",4.1,361,9,0,1,Uttar Pradesh,240928
3400282,Aahar,Casual Dining,"26/118, Opposite Income Tax Building, Sanjay Place, Civil Lines, Agra",Agra,Civil Lines,27.19960568,78.00452828,"North Indian, South Indian, Chinese, Bakery, Continental",10 AM to 11 PM (Mon-Sun),700,2,"['Dinner', 'Delivery', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']",4.1,474,52,0,1,Uttar Pradesh,240928
3400611,Domino's Pizza,Quick Bites,"Ground & First Floor, City Mall, Balkeshwar Colony, Dayalbagh, Kamla Nagar, Agra",Agra,Kamla Nagar,27.21294252,78.02654894,"Pizza, Fast Food",10:57 AM to 11 PM,400,2,"['Credit Card', 'Dinner', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating', 'Free Parking', 'Air Conditioned']",3.5,490,17,0,0,Uttar Pradesh,240928
3400017,Pinch Of Spice,Casual Dining,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Agra,Civil Lines,27.20173481,78.00762456,"North Indian, Chinese, Mughlai","12 Noon to 4 PM, 7 PM to 11:30 PM",1600,4,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",4.6,915,105,0,1,Uttar Pradesh,240928
3400279,Mc Donald's,Quick Bites,"4-5, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra",Agra,Civil Lines,27.20136565,78.00874572,"Burger, Fast Food",10 AM to 11 PM (Mon-Sun),500,2,"['Lunch', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",4.3,837,45,0,0,Uttar Pradesh,240928
3400010,GMB - Gopika Sweets & Restaurant,Casual Dining,"Crystal Tower, Fatehabad Road, Tajganj, Agra",Agra,Tajganj,27.1620096,78.03799622,"Desserts, North Indian, South Indian, Chinese, Fast Food, Street Food",8 AM to 11 PM (Mon-Sun),400,2,"['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Delivery', 'Outdoor Seating', 'Air Conditioned', 'Wifi', 'Pure Veg']",4.1,362,86,0,0,Uttar Pradesh,240928
3400712,The Greener Side,Quick Bites,Delhi Gate Rd,Agra,Civil Lines,27.1971028,77.9981701,"Fast Food, Wraps, Desserts, Beverages",1pm – 10pm (Mon-Sun),300,1,"['Cash', 'Delivery', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'No Seating Available', 'Lunch']",4.4,490,77,0,1,Uttar Pradesh,240928
